a	mean	median	std	var	min	max	kurtosis	skewness	alpha	beta	r-squared
QCOM	0.000902160434345096	0.0009570733683598176	0.01991946170048478	0.00039678495443708	-0.12720470336718337	0.2321620652563643	23.313450053292904	1.3325457706420545			
TEAM	0.0022533174241238726	0.002923418735561012	0.02843931945472576	0.0008087948910479433	-0.15874999999999995	0.32285714285714295	22.73375764876389	1.6059611458536067			
TSLA	0.0013063779235947292	0.0008553277343864574	0.029307477734847442	0.0008589282511785786	-0.13901534859521336	0.17669231977383393	5.1550173149712695	0.31718983542757967			
BABA	0.0010652240863644423	0.001053377717779802	0.019771208286794593	0.0003909006771198152	-0.0759994603588614	0.13291945240369318	2.8972800693218366	0.19322840512045628			
^GSPC	0.00047743116123733084	0.0006002023143063528	0.00815354072659079	6.648022638017467e-05	-0.040979244278871785	0.049593807154098	4.35675452545393	-0.5710865574763654			
